NAME,B19013_001E,B01003_001E,B01002_001E,B19301_001E,B17001_002E,B23022_001E,B23001_088E,B23022_049E,B23022_002E,B23022_025E,B15003_023E,B25058_001E,state,congressional district,Year
"Congressional District 13 (116th Congress), Illinois",56974.0,697929.0,36.9,32113.0,112065.0,460206.0,292498.0,59441.0,232091.0,54426.0,41579.0,673.0,17,13,2021
"Congressional District 14 (116th Congress), Illinois",104214.0,750475.0,39.5,46534.0,38850.0,479445.0,293810.0,50706.0,242255.0,29826.0,61020.0,1144.0,17,14,2021
"Congressional District 15 (116th Congress), Illinois",59320.0,683592.0,41.2,31061.0,84445.0,418866.0,273760.0,53182.0,215454.0,49629.0,26555.0,521.0,17,15,2021
"Congressional District 16 (116th Congress), Illinois",66115.0,693820.0,40.6,33758.0,75758.0,434851.0,281561.0,50561.0,221601.0,39425.0,30577.0,713.0,17,16,2021
"Congressional District 17 (116th Congress), Illinois",52874.0,677247.0,40.8,29000.0,107801.0,415324.0,275796.0,51989.0,209894.0,47105.0,25425.0,585.0,17,17,2021
"Congressional District 18 (116th Congress), Illinois",71011.0,702540.0,40.5,38045.0,65429.0,429242.0,286743.0,49532.0,215095.0,38450.0,44950.0,650.0,17,18,2021
"Congressional Districts not defined (116th Congress), Illinois",-666666666.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,17,ZZ,2021
"Congressional District 1 (116th Congress), Indiana",64466.0,729457.0,39.4,32777.0,97805.0,461391.0,297795.0,65406.0,230994.0,52227.0,32662.0,779.0,18,01,2021
"Congressional District 2 (116th Congress), Indiana",59343.0,729091.0,37.9,29846.0,91031.0,451503.0,289898.0,55900.0,226658.0,38336.0,30157.0,681.0,18,02,2021
"Congressional District 3 (116th Congress), Indiana",61830.0,754959.0,37.1,30937.0,81874.0,466868.0,296714.0,56445.0,234657.0,33119.0,30457.0,639.0,18,03,2021
"Congressional District 4 (116th Congress), Indiana",64442.0,761534.0,36.9,32067.0,81438.0,491088.0,303167.0,55337.0,252103.0,43107.0,37152.0,707.0,18,04,2021
